Day_Name,Station_Hours,Risk_Hours,Average_Imbalance,Failure_Rate
Monday,1836,219,1.0403050108932461,0.119281045751634
Tuesday,2202,299,1.095367847411444,0.13578564940962762
Wednesday,2263,321,1.1109147149801148,0.14184710561201944
Thursday,2071,264,1.056011588604539,0.1274746499275712
Friday,1873,164,0.9482114255205553,0.08756006406833956
Saturday,2179,213,1.0348783845800826,0.09775126204681046
Sunday,1931,196,1.0134645261522528,0.10150181253236665
