is_event,Number_of_Hours,Average_Demand,Median_Demand,Maximum_Demand,Demand_Standard_Deviation,Day_Type
0,41208,661.1214084643758,409.0,5285.0,716.7948096057013,Non-Event Day
1,1728,632.1921296296297,326.0,3544.0,699.9344324544678,Event Day
