Experiment,Model,MAE,RMSE,R2
Bike Share + Climate,Gradient Boosting,88.92,171.94,0.967
Bike Share + Climate,Random Forest,101.09,199.02,0.955
Bike Share + Climate,Linear Regression,141.93,243.57,0.933
Bike Share + Climate,Historical Average,345.25,540.2,0.671
