Model,MAE,RMSE,R2
Gradient Boosting,88.4473294304097,170.7972221922505,0.9670794207982774
Random Forest,102.06208828006088,201.99202621833598,0.9539558656291139
Linear Regression,141.91119754843467,243.5615790154474,0.9330541865280878
Historical Average,345.2473008905233,540.2019388220206,0.6706799759958197
